stock_id,QLIKE,RMSPE%,MAPE%,RMSE,MSE_rv,MAE_log,MSE_log_rv
stock_110,0.10281537293931328,97.7353268399835,49.651031022931804,0.000853114666623527,7.278046344081715e-07,0.3533441672192714,0.2497667395350904
stock_16,0.10259690123538763,99.91330370111018,51.47435016874808,0.0012727965138513695,1.6200109656721992e-06,0.3608372921455411,0.2521890468653358
stock_33,0.11583241500750868,100.15553855090474,55.97920798652832,0.002478594197916618,6.1434291979459235e-06,0.40010815409863504,0.2824860295954194
stock_60,0.10438765836554784,106.70070418400579,53.87812623823627,0.0017262550084898092,2.979956354336151e-06,0.37441875653357753,0.26398107135657006
stock_58,0.08139089755974249,107.10806873514356,43.17333688081434,0.0010314136390856593,1.0638140948919227e-06,0.3277093206392407,0.18944207393951898
stock_0,0.09354223874636138,113.47177971136362,49.088314134794345,0.0015406778116071646,2.3736881191786414e-06,0.34142857141503924,0.23480625237555725
stock_18,0.12968284203182986,134.09107065247835,63.11457623534624,0.0029153535770509824,8.499286479223959e-06,0.41771194109568494,0.3266581090700021
stock_27,0.121087579890732,139.0166714439536,60.61371980050112,0.002145973875022982,4.605203872281153e-06,0.3907147353818918,0.31106368434437104
stock_37,0.13888177077145245,151.42606148389552,67.65581679191527,0.0022534097559413486,5.077855528171648e-06,0.43290157547306835,0.35508404448679953
stock_88,0.11766078413012955,169.86598880114195,64.08716749792086,0.002026269698592599,4.105768891434542e-06,0.39396277814244346,0.3161227472723919
stock_112,0.10671832354210121,188.5998217300135,58.23620041318125,0.0019019606981191869,3.6174544971900243e-06,0.3749960517222044,0.27499817816823435
stock_31,0.23375710007527364,226.42426965971393,92.34434518480707,0.001355753417081752,1.8380673279288472e-06,0.5177997616737313,0.5512143844019408
